Pathways	Species	Taxonomic-Range
guanylyl molybdenum cofactor biosynthesis	Escherichia coli	Bacteria <bacteria>
furcatin degradation	Viburnum furcatum	Spermatophyta
aldoxime degradation	Bacillus sp. OxB-1 // Rhodococcus rhodochrous // Rhodococcus sp. N-771 // Pseudomonas chlororaphis // Rhodococcus YH3-3	Fungi // Bacteria <bacteria>
geranylgeranyl diphosphate biosynthesis	Bacillus subtilis // Capsicum annuum // Homo sapiens // Methanothermobacter marburgensis // Micrococcus luteus // Pantoea agglomerans // Rhodobacter capsulatus // Saccharomyces cerevisiae // Micrococcus luteus	Eukaryota // Bacteria <bacteria> // Archaea
bis(guanylyl molybdenum cofactor) biosynthesis	Escherichia coli	Bacteria <bacteria>
<i>trans</i>-caffeate degradation (aerobic)	Rhodopseudomonas palustris // Sphingomonas sp. SYK6	Bacteria <bacteria>
2-aminophenol degradation	Pseudomonas oleovorans // Pseudomonas sp. AP3 // Pseudomonas putida	Bacteria <bacteria>
adenine and adenosine salvage I	Halobacterium salinarum // Homo sapiens // Mycoplasma pneumoniae	Opisthokonta // Bacteria <bacteria> // Archaea
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	Homo sapiens // Saccharomyces cerevisiae // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria>
<i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation	Escherichia coli	Bacteria <bacteria> // Archaea
coumarin metabolism (to melilotic acid)	Melilotus albus	Magnoliopsida
2-isopropylphenol degradation	Pseudomonas nitroreducens	Bacteria <bacteria>
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	Capsicum annuum // Chlamydomonas reinhardtii // Escherichia coli // Hevea brasiliensis // Arabidopsis thaliana	Bacteria <bacteria> // Viridiplantae
<i>bis</i>(guanylyl tungstenpterin) cofactor biosynthesis	Pyrococcus abyssi // Pyrococcus furiosus	Archaea // Bacteria <bacteria>
4-coumarate degradation (anaerobic)	Rhodopseudomonas palustris	Bacteria <bacteria>
methoxylated aromatic compound degradation II	Archaeoglobus fulgidus	Archaea
adenine salvage	Schizosaccharomyces pombe // Saccharomyces cerevisiae // Cyberlindnera jadinii // Leishmania tropica species complex // Leishmania tarentolae // Leishmania mexicana species complex // Leishmania donovani species complex // Leishmania braziliensis // Crithidia fasciculata // Bacillus subtilis // Bacillus subtilis // Azotobacter vinelandii	Euglenozoa // Fungi // Archaea // Bacteria <bacteria>
molybdenum cofactor sulfulylation (eukaryotes)	Arabidopsis thaliana	Bacteria <bacteria> // Archaea // Eukaryota
4-coumarate degradation (aerobic)	Rhodopseudomonas palustris // Sphingomonas sp. SYK6	Bacteria <bacteria>
glycolysis III (from glucose)	Homo sapiens // Saccharomyces cerevisiae // Saccharomyces cerevisiae // Thermotoga maritima	Eukaryota // Bacteria <bacteria>
parathion degradation	Levilactobacillus brevis // Brevundimonas diminuta // Sphingobium fuliginis	Bacteria <bacteria>
molybdopterin biosynthesis	Escherichia coli // Homo sapiens // Staphylococcus aureus // Thermus thermophilus // Arabidopsis thaliana	Archaea // Bacteria <bacteria> // Eukaryota
diphenylamine degradation	Ralstonia sp. JS668 // Burkholderia sp. JS667	Bacteria <bacteria>
adenine and adenosine salvage III	Escherichia coli // Halobacterium salinarum // Homo sapiens // Mycoplasma pneumoniae	Archaea // Eukaryota // Bacteria <bacteria>
cytidylyl copper-molybdenum cofactor biosynthesis	Afipia carboxidovorans	Bacteria <bacteria>
glycolysis IV	Brassica napus // Brassica nigra // Glycine max // Hevea brasiliensis // Musa acuminata // Pisum sativum // Ricinus communis // Secale cereale // Solanum tuberosum // Spinacia oleracea // Triticum aestivum // Vigna radiata // Zea mays // Arabidopsis thaliana	Bacteria <bacteria> // Viridiplantae
<I>p</I>-cymene degradation to <I>p</I>-cumate	Pseudomonas putida // Pseudomonas sp. gs1 // Pseudomonas putida	Proteobacteria
<i>bis</i>(tungstenpterin) cofactor biosynthesis	Pyrococcus abyssi // Pyrococcus furiosus	Archaea // Bacteria <bacteria>
cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	Homo sapiens	Metazoa
biphenyl degradation	Rhodococcus jostii	Bacteria <bacteria>
adenine and adenosine salvage VI	Halobacterium salinarum // Homo sapiens // Mycoplasma pneumoniae // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria> // Archaea
lanosterol biosynthesis	Enhygromyxa salina // Eudoraea adriatica // Gemmata obscuriglobus // Homo sapiens // Methylobacter luteus // Methylobacter whittenburyi // Methylococcus capsulatus // Methylotuvimicrobium alcaliphilum // Methylomicrobium lacus // Methylosphaera hansonii // Nannocystis exedens // Plesiocystis pacifica // Saccharomyces cerevisiae // Sandaracinus amylolyticus	Planctomycetales // Cyanobacteria // Bacteroidetes <Bacteroidetes> // Opisthokonta // Proteobacteria // Planctomycetes <Planctomycetes>
glycolysis V (Pyrococcus)	Pyrococcus abyssi // Pyrococcus furiosus // Pyrococcus horikoshii // Pyrococcus woesei	Archaea
ethylbenzene degradation (anaerobic)	Aromatoleum bremense // Aromatoleum aromaticum // Azoarcus sp. EB1	Proteobacteria
arsenate reduction (respiratory)	Anaerobacillus arseniciselenatis // Chrysiogenes arsenatis // Desulfitobacterium hafniense // Shewanella sp. ANA-3 // Sulfurospirillum arsenophilum // Sulfurospirillum barnesii // Wolinella succinogenes // Salisediminibacterium selenitireducens	Bacteria <bacteria>
superpathway of cholesterol biosynthesis	Homo sapiens	Metazoa
chlorogenic acid degradation	Acinetobacter baumannii // Burkholderia mallei // Aspergillus niger	cellular organisms
adenine and adenosine salvage II	Hordeum vulgare // Escherichia coli // Lupinus luteus // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria>
allopregnanolone biosynthesis	Homo sapiens	Mammalia
glycolysis VI (from fructose)	Heterocephalus glaber // Homo sapiens	Mammalia
(-)-dehydrodiconiferyl alcohol degradation	Sphingobium sp. SYK-6 // Sphingomonas paucimobilis	Bacteria <bacteria>
carotenoid cleavage	Bixa orellana // Crocus sativus // Oryza sativa // Arabidopsis thaliana	Cyanobacteria // Opisthokonta // Rhodophyta // Viridiplantae
hydrogen to trimethylamine N-oxide electron transfer	Escherichia coli	Bacteria <bacteria> // Archaea
parkeol biosynthesis	Gemmata obscuriglobus // Oryza sativa	Holothuroidea // Viridiplantae // Planctomycetes <Planctomycetes>
4-hydroxymandelate degradation	Aspergillus niger // Pseudomonas fluorescens // Pseudomonas putida	Fungi // Bacteria <bacteria>
adenine and adenosine salvage V	Escherichia coli	Bacteria <bacteria>
ginsenoside degradation III	Panax ginseng	Panax
tetrahydropteridine recycling	Chromobacterium violaceum // Homo sapiens	Fungi // Mammalia // Bacteria <bacteria>
digitoxigenin biosynthesis	Digitalis lanata // Digitalis purpurea	Digitalis
glycolysis I (from glucose 6-phosphate)	Brassica napus // Escherichia coli // Mycoplasma pneumoniae // Ricinus communis // Saccharomyces cerevisiae // Spinacia oleracea // Zea mays // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria> // Archaea
<I>p</I>-cymene degradation	Pseudomonas putida // Pseudomonas putida	Proteobacteria
geraniol and nerol degradation	Penicillium digitatum // Penicillium digitatum	Fungi
perchlorate reduction	Azospirillum sp. TTI // Dechloromonas agitata // Dechloromonas aromatica // Dechloromonas sp. MissR // Dechloromonas sp. PC1 // Azospira sp. KJ // Azospira sp. PCC	Bacteria <bacteria>
malonate decarboxylase activation	Klebsiella pneumoniae	Bacteria <bacteria>
cholesterol biosynthesis (plants, early side-chain reductase)	Nicotiana benthamiana // Solanum lycopersicum // Solanum tuberosum	Viridiplantae
superpathway of aromatic compound degradation via 2-hydroxypentadienoate	Acinetobacter baylyi // Delftia acidovorans // Paenibacillus sp. JJ-1b // Pseudomonas aeruginosa // Pseudomonas fluorescens // Pseudomonas oleovorans // Pseudomonas putida // Pseudomonas putida // Pseudomonas reinekei // Pseudomonas sp. NCIB9816-4 // Pseudomonas putida // Pseudomonas putida // Pseudomonas putida // Pseudomonas putida // pseudomonas putida // Pseudomonas putida // Pseudomonas putida // Pseudomonas putida // Pseudomonas putida // Pseudomonas putida // Pseudomonas stutzeri	Bacteria <bacteria>
superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	Escherichia coli	Bacteria <bacteria>
1,8-cineole degradation	Rhodococcus sp. C1	Bacteria <bacteria>
citrate lyase activation	Escherichia coli // Klebsiella aerogenes // Klebsiella pneumoniae // Rubrivivax gelatinosus	Bacteria <bacteria>
zymosterol biosynthesis	Plesiocystis pacifica // Enhygromyxa salina // Homo sapiens // Saccharomyces cerevisiae	Myxococcales // Opisthokonta
glycolysis II (from fructose 6-phosphate)	Escherichia coli // Streptococcus mutans	Eukaryota // Bacteria <bacteria> // Archaea
terephthalate degradation	Comamonas sp. E6 // Ideonella sakaiensis // Comamonas testosteroni	Bacteria <bacteria>
<i>cis</i>-geranyl-CoA degradation	Pseudomonas fluorescens // Pseudomonas protegens // Pseudomonas mendocina // Pseudomonas aeruginosa // Pseudomonas aeruginosa // Pseudomonas citronellolis	Bacteria <bacteria>
NADH to dimethyl sulfoxide electron transfer	Escherichia coli	Bacteria <bacteria>
cholesterol biosynthesis III (via desmosterol)	Homo sapiens	Metazoa
L-arginine degradation II (AST pathway)	Salmonella enterica // Vogesella indigofera // Pseudomonas putida // Pseudomonas mendocina // Pseudomonas fluorescens // Pseudomonas chlororaphis // Pseudomonas aeruginosa // Oceanimonas doudoroffii // Klebsiella aerogenes // Escherichia coli // Burkholderia cepacia // Aeromonas caviae	Proteobacteria
&beta; myrcene degradation	Castellaniella defragrans	Proteobacteria
superpathway of coenzyme A biosynthesis III (mammals)	Homo sapiens	Mammalia
sterol:steryl ester interconversion (yeast)	Saccharomyces cerevisiae	Eukaryota
Entner-Doudoroff pathway II (non-phosphorylative)	Sulfolobus acidocaldarius // Saccharolobus solfataricus // Sulfurisphaera tokodaii // Thermoplasma acidophilum // Thermoproteus tenax	Thermoprotei // Thermoplasmata
<i>N</i>-cyclopropylmelamine degradation	Acidovorax citrulli // Herbaspirillum huttiense	Proteobacteria
citronellol degradation	Pseudomonas fluorescens // Pseudomonas protegens // Pseudomonas mendocina // Pseudomonas aeruginosa // Pseudomonas aeruginosa // Pseudomonas citronellolis	Bacteria <bacteria>
formate to dimethyl sulfoxide electron transfer	Escherichia coli	Bacteria <bacteria>
coenzyme A biosynthesis II (eukaryotic)	Homo sapiens // Saccharomyces cerevisiae // Arabidopsis thaliana	Eukaryota
sterol biosynthesis (methylotrophs)	Methylococcus capsulatus	Methylococcales
melamine degradation	Klebsiella pneumoniae // Acidovorax citrulli // Herbaspirillum huttiense	Proteobacteria
L-arginine degradation IX (arginine:pyruvate transaminase pathway)	Pseudomonas aeruginosa	Proteobacteria
(4<i>S</i>)-carveol and (4<i>S</i>)-dihydrocarveol degradation	Rhodococcus erythropolis	Bacteria <bacteria>
coenzyme A biosynthesis I (bacteria)	Escherichia coli	Bacteria <bacteria>
cholesterol biosynthesis (algae, late side-chain reductase)	Chondrus crispus	Rhodophyta
Entner-Doudoroff shunt	Escherichia coli // Thermotoga maritima	Eukaryota // Bacteria <bacteria>
deethylsimazine degradation	Gordonia rubripertincta // Rhodococcus YH3-3	Proteobacteria // Actinobacteria
(4<i>R</i>)-carveol and (4<i>R</i>)-dihydrocarveol degradation	Rhodococcus erythropolis	Bacteria <bacteria>
hydrogen to dimethyl sulfoxide electron transfer	Escherichia coli	Bacteria <bacteria> // Archaea
superpathway of coenzyme A biosynthesis II (plants)	Datura inoxia // Hordeum vulgare // Lotus japonicus // Arabidopsis thaliana	Viridiplantae
bile acid biosynthesis, neutral pathway	Homo sapiens // Mus musculus // Oryctolagus cuniculus // Rattus norvegicus	Vertebrata <vertebrates>
L-arginine degradation XIII (reductive Stickland reaction)	Acetoanaerobium sticklandii // Alkaliphilus metalliredigens // Alkaliphilus oremlandii // Caldanaerobacter subterraneus // Clostridioides difficile // Clostridium sporogenes // Cutibacterium acnes // Fervidobacterium nodosum // Natranaerobius thermophilus // Petrotoga mobilis // Thermoanaerobacter pseudethanolicus // Thermosipho melanesiensis	Thermotogae <phylum> // Actinobacteria // Firmicutes
superpathway of coenzyme A biosynthesis I (bacteria)	Escherichia coli	Bacteria <bacteria>
cholesterol biosynthesis I	Homo sapiens	Metazoa
Entner-Doudoroff pathway III (semi-phosphorylative)	Haloarcula marismortui // Halococcus saccharolyticus // Haloferax mediterranei // Haloferax volcanii // Halorubrum saccharovorum // Saccharolobus solfataricus // Thermoproteus tenax	Halobacteria // Thermoprotei
chlorate reduction	Alicycliphilus denitrificans // Azospira oryzae // Dechloromonas aromatica // Ideonella dechloratans // Pseudomonas chloritidismutans	Bacteria <bacteria>
coenzyme A biosynthesis III (archaea)	Methanocaldococcus jannaschii // Pyrococcus abyssi // Thermococcus kodakarensis	Archaea
7-dehydroporiferasterol biosynthesis	Chlamydomonas reinhardtii	Chlorophyta
L-arginine degradation VI (arginase 2 pathway)	Saccharomyces cerevisiae // Synechocystis sp. PCC 6803	Viridiplantae // Cyanobacteria // Fungi
phosphopantothenate biosynthesis I	Datura inoxia // Escherichia coli // Francisella tularensis // Hordeum vulgare // Lotus japonicus // Saccharomyces cerevisiae // Arabidopsis thaliana	Fungi // Viridiplantae // Bacteria <bacteria>
ursodeoxycholate biosynthesis (bacteria)	Clostridium sardiniense // Stenotrophomonas maltophilia // [Ruminococcus] gnavus // Ruminococcus gnavus	Bacteria <bacteria>
acetyl-CoA biosynthesis from citrate	Homo sapiens // Arabidopsis thaliana	Vertebrata <vertebrates> // Embryophyta
glycerol-3-phosphate to fumarate electron transfer	Escherichia coli	Bacteria <bacteria> // Archaea
phosphopantothenate biosynthesis III (archaea)	Thermococcus kodakarensis	Archaea
iso-bile acids biosynthesis I	Eggerthella lenta	Bacteria <bacteria>
L-arginine degradation VIII (arginine oxidase pathway)	Pseudomonas putida // Pseudomonas sp. TPU 7192	Proteobacteria
phosphopantothenate biosynthesis II	Spinacia oleracea	Magnoliopsida
iso-bile acids biosynthesis II	[Ruminococcus] gnavus // Ruminococcus sp. PO1-3	Bacteria <bacteria>
ketolysis	Homo sapiens	Chordata
formate oxidation to CO<sub>2</sub>	Methylorubrum extorquens // Methylosinus trichosporium // Methylosinus trichosporium // Moraxella sp. // Mycolicibacterium vaccae // [Candida] boidinii	Archaea // Fungi // Bacteria <bacteria>
NADH to trimethylamine <i>N</i>-oxide electron transfer	Escherichia coli	Bacteria <bacteria>
gentisate 5-<i>O</i>-&beta;-<i>D</i>-xylopyranoside biosynthesis	Solanum lycopersicum	Solanaceae
L-arginine degradation V (arginine deiminase pathway)	Aeromonas caviae // Aphanocapsa // Acetoanaerobium sticklandii // Giardia intestinalis // Halobacterium salinarum // Hexamita inflata // Lentilactobacillus hilgardii // Metamycoplasma hominis // Mycoplasma pneumoniae // Pseudomonas aeruginosa // Spiroplasma citri // Streptococcus ratti // Treponema denticola // Trichomonas vaginalis // Tritrichomonas suis // Arabidopsis thaliana	Archaea // Eukaryota // Bacteria <bacteria>
methanogenesis from methoxylated aromatic compounds	Archaeoglobus fulgidus // Methanolacinia petrolearia // Methanothermobacter tenebrarum // Methermicoccus shengliensis	Euryarchaeota
linoleate biosynthesis I (plants)	Brassica juncea // Carthamus tinctorius // Glycine max // Linum usitatissimum // Oryza sativa // Sesamum indicum // Spinacia oleracea // Thunbergia alata // Arabidopsis thaliana	Viridiplantae
pyruvate decarboxylation to acetyl CoA III	Anaerotignum propionicum // Chlamydomonas reinhardtii // Clostridium acetobutylicum // Escherichia coli // Halobacterium salinarum // Hydrogenobacter thermophilus // Pyrococcus furiosus // Trichomonas vaginalis	Chlamydomonadales // Metamonada // Bacteria <bacteria> // Archaea
formate assimilation into 5,10-methylenetetrahydrofolate	Homo sapiens // Methylorubrum extorquens // Saccharomyces cerevisiae // Arabidopsis thaliana // Hyphomicrobium zavarzinii	Eukaryota // Archaea // Bacteria <bacteria>
formate to trimethylamine <i>N</i>-oxide electron transfer	Escherichia coli	Bacteria <bacteria>
linoleate biosynthesis III (cyanobacteria)	Trichormus variabilis // Gloeobacter violaceus // Nostoc punctiforme // Nostoc sp. 36 // Nostoc sp. PCC 7120 = FACHB-418 // Prochlorococcus marinus // Synechococcus sp. PCC 7002 // Synechocystis sp. PCC 6803 // Trichodesmium erythraeum	Cyanobacteria
monoacylglycerol metabolism (yeast)	Saccharomyces cerevisiae	Eukaryota
L-arginine degradation XI	Brevibacterium helvolum // Arthrobacter globiformis // Pimelobacter simplex	Actinobacteria
carbon monoxide oxidation to CO<sub>2</sub>	Bradyrhizobium japonicum // Hydrogenophaga pseudoflava // Afipia carboxidovorans	Bacteria <bacteria>
linoleate biosynthesis II (animals)	Chrysopa // Myzus cerasi // Periplaneta fuliginosa // Acheta domesticus // Spodoptera // Cadra cautella // Periplaneta americana // Lipomyces starkeyi	Lipomyces // Insecta
pyruvate decarboxylation to acetyl CoA II	Euglena gracilis	Euglenozoa
superpathway of Kdo<sub>2</sub>-lipid A biosynthesis	Escherichia coli	Bacteria <bacteria>
methanogenesis from methanol	Methanosarcina // Methanosarcina acetivorans // Methanosarcina barkeri // Methanosarcina thermophila // Methanosarcina TM-1	Euryarchaeota
hydrogen to fumarate electron transfer	Escherichia coli	Bacteria <bacteria> // Archaea
5'-deoxyadenosine degradation II	Bacillus anthracis // Bacillus cereus // Bacillus thuringiensis // Clostridium botulinum // Clostridium tetani // Escherichia coli // Escherichia coli O25b:ST131	Bacteria <bacteria>
phenolphthiocerol biosynthesis	Mycobacterium tuberculosis variant africanum // Mycobacterium tuberculosis variant bovis // Mycobacterium gastri // Mycobacterium leprae // Mycobacterium marinum // Mycobacterium tuberculosis	Mycobacteriaceae // Nocardiaceae
L-arginine degradation XII	Kluyveromyces lactis	Fungi
superpathway of C1 compounds oxidation to CO<sub>2</sub>	Methylobacillus flagellatus // Methylorubrum extorquens // Methylobacterium organophilum // Methylococcus capsulatus // Methylophilus methylotrophus // Methylosinus trichosporium // Paracoccus denitrificans // Methylomonas aminofaciens	Bacteria <bacteria>
5'-deoxyadenosine degradation I	Rhodopseudomonas palustris // Rhodospirillum rubrum	Bacteria <bacteria>
superpathway of choline biosynthesis	Brassica napus // Glycine max // Pisum sativum // Ricinus communis // Spinacia oleracea // Arabidopsis thaliana	Viridiplantae
methanol oxidation to formaldehyde I	Methylobacillus flagellatus // Methylorubrum extorquens // Methylobacterium organophilum // Methylomonas sp. J // Methylophaga thalassica // Methylophilus methylotrophus // Paracoccus denitrificans // Paracoccus versutus	Proteobacteria
formate to nitrite electron transfer	Escherichia coli	Bacteria <bacteria>
4-hydroxy-4-methyl-L-glutamate biosynthesis	Hapsidospora irregularis	Viridiplantae // Fungi
ginsenoside degradation I	Phytophthora cactorum // Globisporangium irregulare	Stramenopiles // Fungi
p-HBAD biosynthesis	Mycobacterium tuberculosis variant bovis // Mycobacterium marinum // Mycobacterium tuberculosis	Nocardiaceae // Mycobacteriaceae
L-arginine degradation VII (arginase 3 pathway)	Agrobacterium tumefaciens // Brucella melitensis // Rhizobiaceae // Sinorhizobium meliloti Rm2011	Proteobacteria
methanol and methylamine oxidation to formaldehyde	Methylobacillus flagellatus // Methylorubrum extorquens // Methylobacterium organophilum // Methylomonas sp. J // Methylophaga thalassica // Methylophilus methylotrophus // Paracoccus denitrificans // Paracoccus versutus	Proteobacteria
3-thia-L-glutamate biosynthesis	Pseudomonas syringae	Bacteria <bacteria>
ginsenoside degradation II	Microbacterium sp. // Paecilomyces sp.	Bacteria <bacteria> // Ascomycota
acyl-CoA hydrolysis	Escherichia coli // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria> // Archaea
methanol oxidation to formaldehyde II	Bacillus methanolicus	Firmicutes
NADH to fumarate electron transfer	Escherichia coli	Bacteria <bacteria>
L-homoserine biosynthesis	Escherichia coli // Methanocaldococcus jannaschii	Archaea // Viridiplantae // Fungi // Bacteria <bacteria>
L-asparagine degradation II	Glycine max // Pisum sativum	Embryophyta
mannosylerythritol lipids biosynthesis	Moesziomyces antarcticus // Moesziomyces aphidis // Moesziomyces parantarcticus // Moesziomyces rugulosus // Ustilago hordei // Ustilago maydis	Ustilaginaceae
L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	Pseudomonas aeruginosa // Aeromonas caviae	Proteobacteria
methanol oxidation to formaldehyde III	Mycobacterium sp. DSM 3803 // Mycolicibacterium smegmatis	Bacteria <bacteria>
L-nicotianamine biosynthesis	Hordeum vulgare // Nicotiana tabacum // Oryza // Solanum lycopersicum	Viridiplantae
L-asparagine degradation III (mammalian)	Homo sapiens	Mammalia
wax esters biosynthesis II	Acinetobacter baylyi // Petunia x hybrida	Bacteria <bacteria> // Viridiplantae // Fungi
methanol oxidation to formaldehyde IV	[Candida] boidinii // Ogataea minuta // Komagataella pastoris // Ogataea angusta // Ogataea methanolica	Fungi
methanogenesis from tetramethylammonium	Methanococcoides sp. NaT1	Euryarchaeota
D-cycloserine biosynthesis	Streptomyces garyphalus // Streptomyces lavendulae	Streptomycetaceae
L-asparagine degradation I	Neonectria obtusispora // Dickeya chrysanthemi // Escherichia coli // Hordeum vulgare // Lupinus albus // Pectobacterium carotovorum // Pisum sativum // Thermus thermophilus // Vicia faba // Zea mays	Viridiplantae // Fungi // Metazoa // Archaea // Bacteria <bacteria>
sphingomyelin metabolism	Homo sapiens // Mus musculus	Eukaryota // Bacteria <bacteria>
L-arginine degradation X (arginine monooxygenase pathway)	Arthrobacter globiformis // Arthrobacter sp. KUJ8602 // Brevibacterium helvolum // Leishmania donovani // Pimelobacter simplex // Streptomyces griseus // Streptomyces violaceochromogenes	Eukaryota // Actinobacteria
dimethylsulfoniopropanoate biosynthesis II (Spartina)	Spartina x neyrautii // Sporobolus alterniflorus // Sporobolus anglicus // Sporobolus foliosus // Sporobolus maritimus // Sporobolus x townsendii	Viridiplantae
3-hydroxy-<i>L</i>-homotyrosine biosynthesis	Aspergillus rugulosus	Fungi
camptothecin biosynthesis	Camptotheca acuminata // Nothapodytes nimmoniana // Ophiorrhiza japonica // Ophiorrhiza pumila	Camptotheca // Icacinaceae <Icacinaceae> // Nyssaceae // Rubiaceae // Apocynaceae
diacylglyceryl-<i>N,N,N</i>-trimethylhomoserine biosynthesis	Chlamydomonas reinhardtii // Ochromonas danica // Cereibacter sphaeroides	Eukaryota // Bacteria <bacteria>
dimethylsulfoniopropanoate biosynthesis I (Wollastonia)	Wollastonia biflora	Viridiplantae
methanogenesis from acetate	Methanosarcina // Methanosarcina acetivorans // Methanosarcina barkeri // Methanosarcina thermophila // Methanothrix // Methanothrix thermoacetophila // Methanosarcina TM-1	Euryarchaeota
serine racemization	Enterococcus gallinarum // Escherichia coli // Homo sapiens // Hordeum vulgare // Oryza sativa // Pseudomonas putida // Arabidopsis thaliana	Eukaryota // Archaea // Bacteria <bacteria>
cinchona alkaloids biosynthesis	Cinchona // Cinchona calisaya // Cinchona macrocalyx // Cinchona mutisii // Cinchona officinalis // Cinchona pitayensis // Cinchona pubescens	Cinchonoideae
diacylglycerol and triacylglycerol biosynthesis	Carthamus tinctorius // Glycine max // Limnanthes douglasii // Pisum sativum // Ricinus communis // Saccharomyces cerevisiae // Arabidopsis thaliana	Eukaryota
superpathway of L-arginine and L-ornithine degradation	Escherichia coli	Bacteria <bacteria>
dimethylsulfoniopropanoate biosynthesis III (algae and phytoplankton)	Acropora cervicornis // Alexandrium tamarense // Amorphus coralli // Emiliania huxleyi // Fragilariopsis cylindrus // Roseibium aggregatum // Melosira nummuloides // Prymnesium parvum // Pseudooceanicola batsensis // Salipiger bermudensis // Tetraselmis // Thalassiosira pseudonana // Ulva intestinalis // Ulva lactuca	Acropora // Dinophyceae // Alphaproteobacteria // Haptophyta // Stramenopiles // Rhodophyta // Chlorophyta
L-homocysteine biosynthesis	Corynebacterium glutamicum // Agrobacterium fabrum // Corynebacterium glutamicum // Leptospira meyeri // Saccharomyces cerevisiae // [Brevibacterium] flavum	Fungi // Bacteria <bacteria>
chlorophyll <i>a</i> degradation III	Chlamydomonas reinhardtii	Chlorophyta
ornithine lipid biosynthesis	Acidithiobacillus ferrooxidans // Bordetella pertussis // Burkholderia cepacia // Flavobacterium johnsoniae // Flavobacterium johnsoniae // Mycobacterium tuberculosis complex // Pseudomonas aeruginosa // Pseudomonas fluorescens // Pseudomonas stutzeri // Rhodobacter capsulatus // Serratia proteamaculans // Sinorhizobium meliloti // Sinorhizobium meliloti	Bacteria <bacteria>
pinosylvin metabolism	Pinus densiflora // Pinus strobus // Pinus sylvestris // Psilotum nudum	Euphyllophyta
methyl-coenzyme M oxidation to CO<sub>2</sub>	Methanogenium // Methanosarcina // Methanosarcina barkeri // Methanosarcina thermophila // Methanosarcina TM-1	Euryarchaeota
seleno-amino acid biosynthesis (plants)	Astragalus // Astragalus bisulcatus // Brassica juncea // Pisum sativum // Spinacia oleracea // Arabidopsis thaliana	Viridiplantae
chlorophyll <i>a</i> degradation II	Arabidopsis thaliana	Viridiplantae
phthiocerol biosynthesis	Mycobacterium tuberculosis variant africanum // Mycobacterium tuberculosis variant bovis // Mycobacterium marinum // Mycobacterium tuberculosis // Mycobacterium tuberculosis	Nocardiaceae // Mycobacteriaceae
L-arginine degradation XIV (oxidative Stickland reaction)	Acetoanaerobium sticklandii // Alkaliphilus metalliredigens // Alkaliphilus oremlandii // Caldanaerobacter subterraneus // Clostridioides difficile // Clostridium sporogenes // Cutibacterium acnes // Fervidobacterium nodosum // Natranaerobius thermophilus // Petrotoga mobilis // Thermoanaerobacter pseudethanolicus // Thermosipho melanesiensis	Thermotogae <phylum> // Actinobacteria // Firmicutes
resveratrol biosynthesis	Arachis hypogaea // Equisetum arvense // Hydrangea macrophylla // Polygonum cuspidatum // Rheum tataricum // Vitis vinifera	Euphyllophyta
3-hydroxy-4-methyl-proline biosynthesis	Aspergillus rugulosus	Fungi
chlorophyll <i>a</i> degradation I	Brassica napus // Nicotiana tabacum // Raphanus sativus // Solanum lycopersicum // Zea mays // Arabidopsis thaliana	Viridiplantae
dimycocerosyl phthiocerol biosynthesis	Mycobacterium tuberculosis variant bovis // Mycobacterium marinum // Mycobacterium tuberculosis	Nocardiaceae // Mycobacteriaceae
creatinine degradation I	Achromobacter denitrificans // Arthrobacter sp. TE1826 // Pseudomonas putida // Pseudomonas sp. Ps7 // Tissierella creatinini // Tissierella creatinophila // Pseudomonas putida	Bacteria <bacteria>
methanogenesis from trimethylamine	Methanosarcina // Methanosarcina acetivorans // Methanosarcina barkeri // Methanosarcina thermophila // Methanosarcina TM-1	Euryarchaeota
alanine racemization	Escherichia coli // Pseudomonas putida	Bacteria <bacteria>
echinocandin B biosynthesis	Aspergillus rugulosus	Fungi
glycine lipid biosynthesis	Bacteroides thetaiotaomicron // Phocaeicola vulgatus	Bacteria <bacteria>
L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	Escherichia coli	Bacteria <bacteria>
creatinine degradation III	Pseudomonas stutzeri // Alcaligenes sp.	Bacteria <bacteria>
L-homomethionine biosynthesis	Arabidopsis thaliana	Brassicales
nicotinate degradation III	Eubacterium barkeri	Firmicutes
wax esters biosynthesis I	Simmondsia chinensis	Simmondsia
creatinine degradation II	Arthrobacter sp. // Pseudomonas putida	Bacteria <bacteria>
methanogenesis from glycine betaine	Methanolobus vulcani	Euryarchaeota
superpathway of seleno-compound metabolism	Astragalus // Astragalus bisulcatus // Brassica juncea // Brassica oleracea // Brassica oleracea // Neptunia // Pisum sativum // Saccharomyces cerevisiae // Spartina // Sporobolus alterniflorus // Spinacia oleracea // Arabidopsis thaliana	Bacteria <bacteria> // Fungi // Viridiplantae
nicotinate degradation II	Neobacillus niacini	Firmicutes
crocetin esters biosynthesis	Crocus sativus // Gardenia jasminoides	Rubiaceae // Iridaceae
